contract_id,supplier_id,category_id,value_eur,start_date,end_date,auto_renew_flag
CON0001,SUP001,CAT05,1712787.42,2026-02-01,2028-02-01,1
CON0002,SUP003,CAT05,719101.08,2026-05-01,2027-11-01,0
CON0003,SUP005,CAT01,122786.81,2025-10-01,2027-10-01,1
CON0004,SUP007,CAT02,1650775.68,2024-09-01,2026-03-01,1
CON0005,SUP009,CAT01,1851924.64,2026-01-01,2027-01-01,0
CON0006,SUP010,CAT01,4678262.68,2025-09-01,2028-09-01,1
CON0007,SUP010,CAT01,3830909.95,2025-09-01,2028-09-01,1
CON0008,SUP011,CAT02,2036187.26,2023-10-01,2026-10-01,0
CON0009,SUP011,CAT02,1647825.55,2025-07-01,2027-01-01,1
CON0010,SUP012,CAT04,1446827.8,2025-12-01,2027-06-01,0
CON0011,SUP013,CAT02,4959384.15,2023-12-01,2025-12-01,0
CON0012,SUP014,CAT03,670514.81,2025-04-01,2026-04-01,0
CON0013,SUP015,CAT01,1539320.89,2025-12-01,2028-12-01,1
CON0014,SUP016,CAT02,421571.05,2025-04-01,2027-04-01,1
CON0015,SUP017,CAT01,1974468.63,2026-03-01,2027-09-01,1
CON0016,SUP018,CAT04,2015988.6,2024-11-01,2027-11-01,1
CON0017,SUP019,CAT03,1076379.3,2024-09-01,2026-09-01,0
CON0018,SUP020,CAT06,4991767.24,2026-02-01,2029-02-01,1
CON0019,SUP023,CAT06,357366.71,2025-03-01,2028-03-01,0
CON0020,SUP024,CAT04,2274405.39,2025-12-01,2026-12-01,0
CON0021,SUP025,CAT02,549847.94,2023-03-01,2026-03-01,1
CON0022,SUP026,CAT01,1473392.38,2025-02-01,2026-08-01,0
CON0023,SUP026,CAT01,1003931.86,2025-06-01,2027-06-01,1
CON0024,SUP027,CAT01,351957.93,2025-10-01,2027-04-01,1
CON0025,SUP029,CAT01,341822.43,2025-01-01,2028-01-01,1
CON0026,SUP030,CAT01,4416142.91,2026-03-01,2027-03-01,0
CON0027,SUP031,CAT05,75797.2,2025-12-01,2027-06-01,0
CON0028,SUP036,CAT03,524292.63,2023-12-01,2025-12-01,0
CON0029,SUP037,CAT04,292825.59,2026-04-01,2027-10-01,0
CON0030,SUP038,CAT06,135010.11,2024-11-01,2026-11-01,0
CON0031,SUP039,CAT03,8208536.71,2023-02-01,2026-02-01,0
CON0032,SUP039,CAT03,3146839.47,2025-12-01,2027-12-01,1
CON0033,SUP040,CAT03,551082.25,2025-10-01,2027-10-01,1
CON0034,SUP040,CAT03,228619.26,2025-09-01,2028-09-01,1
CON0035,SUP041,CAT01,407930.92,2024-02-01,2026-02-01,0
CON0036,SUP042,CAT02,1573387.25,2026-03-01,2028-03-01,1
CON0037,SUP042,CAT02,1926562.1,2026-05-01,2027-05-01,0
CON0038,SUP043,CAT04,300202.24,2025-12-01,2027-06-01,0
CON0039,SUP044,CAT02,413247.6,2024-10-01,2027-10-01,1
CON0040,SUP045,CAT06,349731.22,2026-04-01,2029-04-01,0
CON0041,SUP046,CAT01,4435900.67,2023-12-01,2026-12-01,1
CON0042,SUP047,CAT03,335134.53,2026-04-01,2028-04-01,1
CON0043,SUP048,CAT05,3757793.63,2025-04-01,2027-04-01,1
CON0044,SUP049,CAT04,5173895.61,2025-08-01,2026-08-01,0
CON0045,SUP050,CAT06,307633.23,2025-10-01,2027-10-01,1
CON0046,SUP050,CAT06,534073.1,2024-09-01,2026-09-01,0
CON0047,SUP051,CAT03,5982755.64,2025-02-01,2027-02-01,1
CON0048,SUP051,CAT03,4505387.92,2026-01-01,2027-01-01,0
CON0049,SUP052,CAT02,708504.67,2025-02-01,2026-08-01,1
CON0050,SUP053,CAT03,1246643.72,2025-09-01,2026-09-01,0
CON0051,SUP055,CAT02,219546.13,2024-04-01,2027-04-01,0
CON0052,SUP056,CAT05,1513554.03,2024-03-01,2026-03-01,1
CON0053,SUP056,CAT05,1399220.12,2026-02-01,2028-02-01,0
CON0054,SUP057,CAT01,5757419.42,2024-09-01,2026-09-01,1
CON0055,SUP062,CAT02,4697365.96,2025-02-01,2027-02-01,0
CON0056,SUP063,CAT02,1649047.02,2025-12-01,2027-12-01,0
CON0057,SUP065,CAT01,799700.97,2025-10-01,2028-10-01,0
CON0058,SUP066,CAT01,127008.8,2026-03-01,2027-09-01,1
CON0059,SUP067,CAT06,550942.02,2025-01-01,2026-01-01,1
CON0060,SUP067,CAT06,365455.4,2023-12-01,2025-12-01,0
CON0061,SUP068,CAT06,1066190.22,2024-12-01,2026-12-01,0
CON0062,SUP070,CAT05,5390201.98,2024-07-01,2027-07-01,1
CON0063,SUP071,CAT04,422752.48,2025-03-01,2027-03-01,0
CON0064,SUP072,CAT01,2232943.04,2024-01-01,2027-01-01,0
CON0065,SUP073,CAT03,2034861.07,2026-01-01,2027-07-01,1
CON0066,SUP073,CAT03,1401740.79,2026-04-01,2028-04-01,1
CON0067,SUP074,CAT06,1344870.24,2026-03-01,2027-03-01,1
CON0068,SUP074,CAT06,1015922.5,2025-09-01,2026-09-01,0
CON0069,SUP075,CAT01,1350273.99,2025-07-01,2028-07-01,1
CON0070,SUP076,CAT06,446614.62,2026-02-01,2027-02-01,1
CON0071,SUP078,CAT05,388170.34,2024-09-01,2026-09-01,0
CON0072,SUP078,CAT05,556213.5,2025-04-01,2028-04-01,1
CON0073,SUP079,CAT01,138974.41,2025-09-01,2027-09-01,0
CON0074,SUP080,CAT01,2431432.81,2024-11-01,2026-11-01,1
