event_id,supplier_id,category_id,single_source_flag,start,detected_at,action_at,recovered_at,tta_days,ttact_days,ttr_days_empirical,tts_days_buffer,tts_gt_ttr_flag,impact_eur
EVT001,SUP065,CAT01,1,2024-11-10,2024-11-12,2024-11-14,2024-12-19,2.92,1.24,39.94,39.8,0,838811.88
EVT002,SUP020,CAT06,0,2025-04-06,2025-04-06,2025-04-08,2025-04-23,0.93,1.22,17.37,41.0,1,177191.89
EVT003,SUP022,CAT01,1,2025-12-01,2025-12-05,2025-12-06,2026-01-20,4.89,1.0,50.0,23.2,0,696356.41
EVT004,SUP043,CAT04,0,2024-07-19,2024-07-21,2024-07-23,2024-07-29,2.41,2.05,10.32,22.7,1,130823.4
EVT005,SUP031,CAT05,0,2025-12-06,2025-12-09,2025-12-10,2026-01-18,3.83,0.77,43.17,86.0,1,137136.27
EVT006,SUP051,CAT03,1,2026-05-23,2026-05-26,2026-05-29,2026-06-28,3.8,2.42,36.5,32.3,0,344824.55
EVT007,SUP040,CAT03,0,2024-07-25,2024-07-28,2024-07-29,2024-08-22,3.41,0.91,28.06,50.8,1,250106.57
EVT008,SUP034,CAT02,0,2025-03-13,2025-03-15,2025-03-16,2025-03-24,2.94,0.68,11.05,21.5,1,130620.03
EVT009,SUP076,CAT06,0,2026-01-19,2026-01-22,2026-01-23,2026-01-29,3.01,1.25,10.19,10.9,1,81769.25
EVT010,SUP029,CAT01,0,2026-01-06,2026-01-10,2026-01-11,2026-01-28,4.01,1.28,22.85,33.9,1,142198.6
EVT011,SUP016,CAT02,0,2025-05-20,2025-05-23,2025-05-23,2025-06-20,3.01,0.93,31.81,38.3,1,342231.73
EVT012,SUP051,CAT03,1,2024-06-22,2024-06-25,2024-06-26,2024-07-29,3.23,1.47,37.37,32.3,0,243081.54
EVT013,SUP074,CAT06,1,2025-03-20,2025-03-21,2025-03-22,2025-04-19,1.6,1.33,30.68,35.2,1,330336.22
EVT014,SUP069,CAT06,0,2025-06-04,2025-06-08,2025-06-10,2025-07-02,4.08,2.18,28.72,31.2,1,51655.36
EVT015,SUP049,CAT04,0,2025-12-12,2025-12-15,2025-12-17,2026-01-05,3.73,1.71,24.41,42.9,1,112801.13
EVT016,SUP001,CAT05,0,2025-07-13,2025-07-17,2025-07-17,2025-07-22,4.18,0.54,9.7,12.7,1,75454.38
EVT017,SUP065,CAT01,1,2025-04-08,2025-04-11,2025-04-13,2025-05-07,3.69,1.37,29.97,39.8,1,268902.34
EVT018,SUP036,CAT03,0,2024-12-04,2024-12-05,2024-12-06,2024-12-21,1.73,0.43,17.55,23.2,1,120933.75
EVT019,SUP077,CAT05,0,2025-03-20,2025-03-21,2025-03-22,2025-04-07,1.15,1.6,18.71,32.4,1,81195.07
EVT020,SUP014,CAT03,1,2025-06-24,2025-06-26,2025-06-28,2025-08-10,2.47,1.91,47.99,62.0,1,867872.71
EVT021,SUP061,CAT02,0,2026-01-08,2026-01-10,2026-01-11,2026-01-31,2.43,1.34,23.49,34.5,1,234868.37
EVT022,SUP046,CAT01,1,2024-07-12,2024-07-15,2024-07-17,2024-08-08,3.35,1.86,27.47,35.5,1,343269.06
