month,category_id,category_name,planned_volume,actual_volume,planned_po_date,actual_po_date,po_late_days
2024-06,CAT01,IT & Cloud,2933.2,2386.8,2024-06-10,2024-06-17,7
2024-07,CAT01,IT & Cloud,2852.1,2196.2,2024-07-10,2024-07-24,14
2024-08,CAT01,IT & Cloud,2888.8,2387.5,2024-08-10,2024-08-20,10
2024-09,CAT01,IT & Cloud,2864.6,2292.1,2024-09-10,2024-09-11,1
2024-10,CAT01,IT & Cloud,2887.7,2412.0,2024-10-10,2024-10-11,1
2024-11,CAT01,IT & Cloud,2840.1,2370.5,2024-11-10,2024-11-17,7
2024-12,CAT01,IT & Cloud,2888.9,2410.7,2024-12-10,2024-12-14,4
2025-01,CAT01,IT & Cloud,2999.0,2482.8,2025-01-10,2025-01-19,9
2025-02,CAT01,IT & Cloud,2898.2,2431.0,2025-02-10,2025-02-14,4
2025-03,CAT01,IT & Cloud,2853.8,2361.8,2025-03-10,2025-03-14,4
2025-04,CAT01,IT & Cloud,2943.2,2544.3,2025-04-10,2025-04-12,2
2025-05,CAT01,IT & Cloud,2862.2,2461.6,2025-05-10,2025-05-15,5
2025-06,CAT01,IT & Cloud,3020.1,2603.9,2025-06-10,2025-06-16,6
2025-07,CAT01,IT & Cloud,2985.8,2572.0,2025-07-10,2025-07-13,3
2025-08,CAT01,IT & Cloud,3006.5,2640.1,2025-08-10,2025-08-13,3
2025-09,CAT01,IT & Cloud,2873.5,2566.6,2025-09-10,2025-09-15,5
2025-10,CAT01,IT & Cloud,2978.3,2680.0,2025-10-10,2025-10-13,3
2025-11,CAT01,IT & Cloud,2936.3,2591.3,2025-11-10,2025-11-14,4
2025-12,CAT01,IT & Cloud,3079.2,2795.5,2025-12-10,2025-12-12,2
2026-01,CAT01,IT & Cloud,2944.9,2732.6,2026-01-10,2026-01-12,2
2026-02,CAT01,IT & Cloud,3033.2,2739.1,2026-02-10,2026-02-11,1
2026-03,CAT01,IT & Cloud,3017.5,2754.7,2026-03-10,2026-03-13,3
2026-04,CAT01,IT & Cloud,3054.0,2890.3,2026-04-10,2026-04-10,0
2026-05,CAT01,IT & Cloud,3103.7,2857.8,2026-05-10,2026-05-10,0
2024-06,CAT02,Hardware,1868.0,1499.1,2024-06-10,2024-06-16,6
2024-07,CAT02,Hardware,1946.5,1617.5,2024-07-10,2024-07-20,10
2024-08,CAT02,Hardware,1918.0,1566.3,2024-08-10,2024-08-17,7
2024-09,CAT02,Hardware,1914.0,1551.2,2024-09-10,2024-09-16,6
2024-10,CAT02,Hardware,1867.3,1532.2,2024-10-10,2024-10-16,6
2024-11,CAT02,Hardware,1895.0,1556.5,2024-11-10,2024-11-14,4
2024-12,CAT02,Hardware,1935.3,1627.2,2024-12-10,2024-12-18,8
2025-01,CAT02,Hardware,1928.7,1566.3,2025-01-10,2025-01-13,3
2025-02,CAT02,Hardware,1870.6,1560.9,2025-02-10,2025-02-18,8
2025-03,CAT02,Hardware,1898.0,1600.4,2025-03-10,2025-03-17,7
2025-04,CAT02,Hardware,1951.4,1649.4,2025-04-10,2025-04-16,6
2025-05,CAT02,Hardware,1919.7,1625.4,2025-05-10,2025-05-11,1
2025-06,CAT02,Hardware,1918.2,1631.8,2025-06-10,2025-06-17,7
2025-07,CAT02,Hardware,1935.0,1695.5,2025-07-10,2025-07-16,6
2025-08,CAT02,Hardware,1928.6,1739.8,2025-08-10,2025-08-12,2
2025-09,CAT02,Hardware,1958.2,1702.5,2025-09-10,2025-09-11,1
2025-10,CAT02,Hardware,2049.1,1799.6,2025-10-10,2025-10-14,4
2025-11,CAT02,Hardware,1987.8,1765.7,2025-11-10,2025-11-13,3
2025-12,CAT02,Hardware,1882.5,1715.1,2025-12-10,2025-12-10,0
2026-01,CAT02,Hardware,2003.8,1841.8,2026-01-10,2026-01-11,1
2026-02,CAT02,Hardware,2008.6,1812.3,2026-02-10,2026-02-10,0
2026-03,CAT02,Hardware,2027.9,1820.6,2026-03-10,2026-03-10,0
2026-04,CAT02,Hardware,2035.7,1890.0,2026-04-10,2026-04-10,0
2026-05,CAT02,Hardware,2045.7,1930.0,2026-05-10,2026-05-12,2
