txn_id,date,month,supplier_id,category_id,amount_eur,on_contract_flag,po_flag
TX0000001,2024-06-15,2024-06,SUP022,CAT01,408840.07,1,1
TX0000002,2024-06-26,2024-06,SUP009,CAT01,674867.07,1,1
TX0000003,2024-06-06,2024-06,SUP066,CAT01,466657.57,1,1
TX0000004,2024-06-14,2024-06,SUP022,CAT01,749225.23,1,1
TX0000005,2024-06-26,2024-06,SUP029,CAT01,481289.58,1,1
TX0000006,2024-06-16,2024-06,SUP080,CAT01,635041.71,0,1
TX0000007,2024-06-18,2024-06,SUP041,CAT01,1116506.32,0,0
TX0000008,2024-06-10,2024-06,SUP022,CAT01,1066654.53,1,1
TX0000009,2024-06-01,2024-06,SUP022,CAT01,1804744.03,1,0
TX0000010,2024-06-06,2024-06,SUP022,CAT01,916350.42,0,1
TX0000011,2024-06-20,2024-06,SUP010,CAT01,708077.45,1,1
TX0000012,2024-06-21,2024-06,SUP066,CAT01,1984048.09,1,1
TX0000013,2024-06-23,2024-06,SUP066,CAT01,584462.29,1,1
TX0000014,2024-06-20,2024-06,SUP017,CAT01,59056.94,1,1
TX0000015,2024-06-15,2024-06,SUP017,CAT01,1218239.35,1,1
TX0000016,2024-06-27,2024-06,SUP066,CAT01,839240.51,1,1
TX0000017,2024-06-02,2024-06,SUP004,CAT01,682980.23,0,1
TX0000018,2024-06-06,2024-06,SUP022,CAT01,1240575.22,1,1
TX0000019,2024-06-27,2024-06,SUP022,CAT01,484713.12,1,1
TX0000020,2024-06-04,2024-06,SUP046,CAT01,63473.12,1,1
TX0000021,2024-06-27,2024-06,SUP015,CAT01,1257515.33,1,1
TX0000022,2024-06-09,2024-06,SUP046,CAT01,396516.63,1,1
TX0000023,2024-06-15,2024-06,SUP022,CAT01,294258.53,1,1
TX0000024,2024-06-27,2024-06,SUP035,CAT02,771119.89,1,0
TX0000025,2024-06-08,2024-06,SUP035,CAT02,261445.35,1,1
TX0000026,2024-06-13,2024-06,SUP025,CAT02,55489.87,1,1
TX0000027,2024-06-25,2024-06,SUP021,CAT02,781475.43,1,1
TX0000028,2024-06-12,2024-06,SUP035,CAT02,433828.61,1,1
TX0000029,2024-06-12,2024-06,SUP021,CAT02,190786.88,1,1
TX0000030,2024-06-18,2024-06,SUP061,CAT02,214863.0,0,0
TX0000031,2024-06-17,2024-06,SUP021,CAT02,521466.81,1,1
TX0000032,2024-06-22,2024-06,SUP021,CAT02,512049.55,1,1
TX0000033,2024-06-17,2024-06,SUP035,CAT02,751550.96,1,1
TX0000034,2024-06-21,2024-06,SUP035,CAT02,287259.89,1,1
TX0000035,2024-06-07,2024-06,SUP035,CAT02,207574.17,1,1
TX0000036,2024-06-25,2024-06,SUP025,CAT02,409413.78,1,1
TX0000037,2024-06-08,2024-06,SUP063,CAT02,335611.96,1,1
TX0000038,2024-06-06,2024-06,SUP035,CAT02,239706.73,1,1
TX0000039,2024-06-05,2024-06,SUP035,CAT02,71236.93,0,0
TX0000040,2024-06-20,2024-06,SUP025,CAT02,837293.64,1,1
TX0000041,2024-06-11,2024-06,SUP016,CAT02,1321703.17,1,1
TX0000042,2024-06-08,2024-06,SUP035,CAT02,661161.83,1,1
TX0000043,2024-06-05,2024-06,SUP021,CAT02,284180.64,1,1
